sub_category_name,parent
legumes,Cooking Supplies
Oils & Ghee,Cooking Supplies
Spices & Seasonings,Cooking Supplies
sauces & vinegar,Cooking Supplies
Rice & pasta & Vermicelli,Cooking Supplies
Sugar & Home Baking,Cooking Supplies
Ready Meals,Cooking Supplies
ketchup & Mayonnaise,Cooking Supplies
Soups & Maggi,Cooking Supplies
"Dried Beans, Grains",Cooking Supplies
Tahini,Cooking Supplies
Rusks,Bakery
bread,Bakery
Bread & Rolls,Bakery
Croissants & pastries,Bakery
Donuts & biscuits,Bakery
Sweets,Bakery
Vegetable,Fruits & Vegetables
Fruit,Fruits & Vegetables
Leaf Vegetable,Fruits & Vegetables
Fish & Seafood,Frozen Food
Fruits & Vegetables,Frozen Food
Ice Cream & Desserts,Frozen Food
Meat & Poultry,Frozen Food
Ready Meals & Appetizers,Frozen Food
Chilled Food,Fresh Food
Snacks,Snacks
"Nuts, Dates & Dried Fruits",Snacks
Biscuits & cakes,Snacks
Chips & snacks,Snacks
Chocolate & sweets,Snacks
Beverages,Organic & Healthy Food
Canned Products,Organic & Healthy Food
Organic Dairy Products,Organic & Healthy Food
Organic Fruits & Vegetables,Organic & Healthy Food
Breakfast,Organic & Healthy Food
Cooking Ingredients,Organic & Healthy Food
Coffee,Beverages
Juices,Beverages
Powdered Drinks,Beverages
Soft Drinks,Beverages
Tea,Beverages
herbs,Beverages
Malt drinks,Beverages
Energy Drinks,Beverages
Flavoured Water,Water
Sparkling Water,Water
Mineral water,Water
Household Cleaning,Home Cleaning Products
Air Fresheners,Home Cleaning Products
Multi Purpose cleaner,Home Cleaning Products
Cleaning Supplies,Home Cleaning Products
Laundry & Detergents,Home Cleaning Products
Garbage Bags,Home Cleaning Products
Insect & Pest Control,Home Cleaning Products
Kitchen & Toilet Tissues,Home Cleaning Products
dish detergents,Home Cleaning Products
toilet freshener,Home Cleaning Products
toilet cleaners,Home Cleaning Products
Eggs,Dairy products & eggs
Butter & Ghee,Dairy products & eggs
Cheese & Labneh,Dairy products & eggs
Chilled sweets,Dairy products & eggs
cream,Dairy products & eggs
Yogurt,Dairy products & eggs
Milk & Yogurt,Dairy products & eggs
Personal Care,Beauty & Personal Care
Oral & dental care,Beauty & Personal Care
Hair Care,Beauty & Personal Care
Ladies Hair Removal,Beauty & Personal Care
Medical Supplies,Beauty & Personal Care
Accessories & Makeup,Beauty & Personal Care
Men's Grooming,Beauty & Personal Care
Face & Body Skin Care,Beauty & Personal Care
"Shower, Bath & Soap",Beauty & Personal Care
Suncare & Travel Size,Beauty & Personal Care
Toiletries & perfumes & hygiene,Beauty & Personal Care
Face Tissues,Beauty & Personal Care
Shoe Polish,Beauty & Personal Care
Baby Care Products,Baby Products
Changing & shower,Baby Products
Milk & Foods,Baby Products
Kids Drinks,Baby Products
Toys,Baby Products
Camping & barbecues & grills,Home & Garden
Kitchen & dining room,Home & Garden
Tools & equipment,Home & Garden
Electric Tools,Home & Garden
Vegetables,Canned Products
Fruits,Canned Products
olives & pickles,Canned Products
Meat & Fish,Canned Products
Jam,Jam & honey & spreads
Honey,Jam & honey & spreads
Spreadables,Jam & honey & spreads
Pet Treats,Pet Supplies
Breakfast Cereals,Breakfast Cereals
